Submission id,PROLIFIC_PID,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Employment-sector,Knowledge of software development techniques,Company size,Company type,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
669583aaa0ad31e4d5928410,65e3492e666e06bccbb84d72,APPROVED,Not Applicable,2024-07-15T20:16:52.266000Z,2024-07-15T20:24:36.379000Z,2024-07-23T12:37:37.627000Z,2024-07-15T20:24:39.246529Z,465,NOCODE,17,Information Technology,"Cloud computing, Shell scripting",1000+,Large private enterprise,25,Male,Other,Mexico,Mexico,Mexico,Spanish,No,Full-Time
6695851f5599e95ee061d7a3,5f173625050672074221898d,APPROVED,Not Applicable,2024-07-15T20:22:59.867000Z,2024-07-15T20:30:18.647000Z,2024-07-23T12:38:01.844000Z,2024-07-15T20:30:19.396134Z,439,NOCODE,106,Information Technology,"Virtualisation, Database management, Search technologies",1000+,Large private enterprise,25,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
669585c9793642dfecf04277,5ac9c4415cd1050001626162,APPROVED,Not Applicable,2024-07-15T20:25:45.572000Z,2024-07-15T20:33:25.286000Z,2024-07-16T15:51:12.535000Z,2024-07-15T20:33:26.299361Z,460,NOCODE,739,Information Technology,"Database management, A/B testing",1000+,Publicly listed/traded enterprise (e.g. listed on a stock exchange),34,Male,Mixed,Mexico,Mexico,Mexico,Spanish,No,Full-Time
66958638d635ede23230a347,5fa6bd5087c4d53285fd8a53,APPROVED,Not Applicable,2024-07-15T20:27:48.535000Z,2024-07-15T20:37:28.406000Z,2024-07-23T12:35:47.425000Z,2024-07-15T20:37:39.882213Z,580,NOCODE,99,Information Technology,"Shell scripting, Web servers",1000+,Large private enterprise,25,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
669586856cf4e4237ea21e9a,668e94c676f2f05528e1c247,APPROVED,Not Applicable,2024-07-15T20:29:02.524000Z,2024-07-15T20:39:23.026000Z,2024-07-25T09:54:53.889000Z,2024-07-23T17:26:05.141441Z,621,NOCODE,16,Information Technology,"Cloud computing, Shell scripting, Background processing, Monitoring, caching, Version control, Debugging, Functional testing, Unit testing, Web servers, Database management, Responsive design, UI design",1000+,Publicly listed/traded enterprise (e.g. listed on a stock exchange),24,Male,White,Spain,Spain,Spain,Catalan,No,Full-Time
669586c74606d0d66a7edc9d,6682a96fa1b047912fd35ee4,APPROVED,Not Applicable,2024-07-15T20:30:12.189000Z,2024-07-15T20:37:38.350000Z,2024-07-16T15:51:25.036000Z,2024-07-15T20:37:47.050300Z,447,NOCODE,7,Information Technology,"Search technologies, Database management",1000+,Publicly listed/traded enterprise (e.g. listed on a stock exchange),28,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
669587806635187639c2696b,60719da557d8241609b26e83,APPROVED,Not Applicable,2024-07-15T20:33:18.983000Z,2024-07-15T20:50:03.223000Z,2024-07-25T09:54:55.218000Z,2024-07-23T17:26:05.147058Z,1005,NOCODE,598,Information Technology,"Cloud computing, Search technologies, Functional testing",1000+,Publicly listed/traded enterprise (e.g. listed on a stock exchange),38,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
669587bb2419befab8a64613,65dc9bebcab6f3f4b2f3cddb,APPROVED,Not Applicable,2024-07-15T20:34:13.641000Z,2024-07-15T20:38:03.005000Z,2024-07-16T15:52:01.354000Z,2024-07-15T20:38:04.154032Z,230,NOCODE,40,Information Technology,"Functional testing, Debugging, Unit testing, Database management, UI design, A/B testing, UX",1000+,Large private enterprise,34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
669587d24eb541dcc1a8007b,5cc04e795069bb0013dc1a54,APPROVED,Not Applicable,2024-07-15T20:34:30.582000Z,2024-07-15T20:39:20.523000Z,2024-07-16T15:54:16.507000Z,2024-07-15T20:39:21.149054Z,290,NOCODE,15,Information Technology,"Cloud computing, Shell scripting, Monitoring, Version control, Virtualisation, Web servers, Database management",1000+,Publicly listed/traded enterprise (e.g. listed on a stock exchange),31,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6695884f4528ba840cfcaadf,664f40ff9f6cd94c5dd2ace7,APPROVED,Not Applicable,2024-07-15T20:36:43.785000Z,2024-07-15T20:44:48.273000Z,2024-07-23T12:59:21.797000Z,2024-07-23T17:26:05.150887Z,485,NOCODE,28,Information Technology,Responsive design,1000+,Large private enterprise,31,Female,Mixed,South Africa,South Africa,South Africa,English,Yes,Full-Time
669588c11338923e843267f1,6625891fa59ee84682e647b9,APPROVED,Not Applicable,2024-07-15T20:38:33.890000Z,2024-07-15T20:49:42.473000Z,2024-07-16T15:54:35.662000Z,2024-07-15T20:49:43.120457Z,669,NOCODE,9,Information Technology,Unit testing,1000+,Large private enterprise,29,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
669588e839fa5de4a7cb05f8,610667edefdc1ad424021209,APPROVED,Not Applicable,2024-07-15T20:39:10.947000Z,2024-07-15T20:46:03.151000Z,2024-07-25T09:54:56.234000Z,2024-07-23T17:26:05.154973Z,413,NOCODE,289,Information Technology,"Functional testing, Cloud computing",1000+,Large private enterprise,26,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
